nohup: ignoring input
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1789848598.691786  706959 cpu_feature_guard.cc:227] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
Datasets: dataset
Models: velocity_threshold, extension_threshold, random_forest, lstm, gru

=== dataset: 69,277 frames ===
[  1%] dataset 1/135 · fold01_P001 random_forest · 13s elapsed, ~29m06s left
[  1%] dataset 2/135 · fold01_P001 velocity_threshold · 14s elapsed, ~15m47s left
[  2%] dataset 3/135 · fold01_P001 extension_threshold · 16s elapsed, ~11m46s left
[  3%] dataset 4/135 · fold02_P002 random_forest · 28s elapsed, ~15m27s left
[  4%] dataset 5/135 · fold02_P002 velocity_threshold · 29s elapsed, ~12m48s left
[  4%] dataset 6/135 · fold02_P002 extension_threshold · 30s elapsed, ~11m00s left
[  5%] dataset 7/135 · fold03_P003 random_forest · 43s elapsed, ~13m19s left
[  6%] dataset 8/135 · fold03_P003 velocity_threshold · 44s elapsed, ~11m52s left
[  7%] dataset 9/135 · fold03_P003 extension_threshold · 46s elapsed, ~10m45s left
[  7%] dataset 10/135 · fold04_P004 random_forest · 58s elapsed, ~12m17s left
[  8%] dataset 11/135 · fold04_P004 velocity_threshold · 1m00s elapsed, ~11m17s left
[  9%] dataset 12/135 · fold04_P004 extension_threshold · 1m01s elapsed, ~10m28s left
[ 10%] dataset 13/135 · fold05_P005 random_forest · 1m15s elapsed, ~11m46s left
[ 10%] dataset 14/135 · fold05_P005 velocity_threshold · 1m16s elapsed, ~11m00s left
[ 11%] dataset 15/135 · fold05_P005 extension_threshold · 1m17s elapsed, ~10m21s left
[ 12%] dataset 16/135 · fold06_P006 random_forest · 1m31s elapsed, ~11m21s left
[ 13%] dataset 17/135 · fold06_P006 velocity_threshold · 1m32s elapsed, ~10m44s left
[ 13%] dataset 18/135 · fold06_P006 extension_threshold · 1m33s elapsed, ~10m10s left
[ 14%] dataset 19/135 · fold07_P007 random_forest · 1m47s elapsed, ~10m59s left
[ 15%] dataset 20/135 · fold07_P007 velocity_threshold · 1m49s elapsed, ~10m27s left
[ 16%] dataset 21/135 · fold07_P007 extension_threshold · 1m50s elapsed, ~9m59s left
[ 16%] dataset 22/135 · fold08_P008 random_forest · 2m06s elapsed, ~10m50s left
[ 17%] dataset 23/135 · fold08_P008 velocity_threshold · 2m07s elapsed, ~10m21s left
[ 18%] dataset 24/135 · fold08_P008 extension_threshold · 2m08s elapsed, ~9m55s left
[ 19%] dataset 25/135 · fold09_P009 random_forest · 2m23s elapsed, ~10m32s left
